id,name,slug,state,county,description,population,coordinates,meta_title,meta_description,created_at
47,Antelope,antelope,CA,Sacramento,"Find professional handyman services in Antelope, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Antelope, CA","Professional handyman services available in Antelope, California",2025-01-30 23:33:36.058063+00
21,Auburn,auburn,CA,Sacramento,"Find professional handyman services in Auburn, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Auburn, CA","Professional handyman services available in Auburn, California",2025-01-30 23:33:28.246436+00
26,Cameron Park,cameron-park,CA,Sacramento,"Find professional handyman services in Cameron Park, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Cameron Park, CA","Professional handyman services available in Cameron Park, California",2025-01-30 23:33:29.736547+00
31,Camino,camino,CA,Sacramento,"Find professional handyman services in Camino, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Camino, CA","Professional handyman services available in Camino, California",2025-01-30 23:33:31.225308+00
45,Carmichael,carmichael,CA,Sacramento,"Find professional handyman services in Carmichael, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Carmichael, CA","Professional handyman services available in Carmichael, California",2025-01-30 23:33:35.472759+00
17,Cities,cities,CA,Sacramento,"Find professional handyman services in Cities, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Cities, CA","Professional handyman services available in Cities, California",2025-01-30 23:33:26.099893+00
4,Citrus Heights,citrus-heights,CA,Sacramento County,"Citrus Heights, a well-established suburban city in Sacramento County, offers a mix of residential and commercial areas. Homeowners in Citrus Heights depend on professional handyman services to maintain their properties and enhance their living spaces.",87931,"{""lat"": 38.7071, ""lng"": -121.2811}","Professional Handyman Services in Citrus Heights, CA | Expert Home Repairs",Trusted handyman services in Citrus Heights. Our experienced team provides quality home repairs and maintenance solutions.,2025-01-30 21:00:30.52514+00
62,Clay,clay,CA,Sacramento,"Find professional handyman services in Clay, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Clay, CA","Professional handyman services available in Clay, California",2025-01-30 23:33:40.631118+00
40,Colfax,colfax,CA,Sacramento,"Find professional handyman services in Colfax, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Colfax, CA","Professional handyman services available in Colfax, California",2025-01-30 23:33:33.976104+00
32,Coloma,coloma,CA,Sacramento,"Find professional handyman services in Coloma, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Coloma, CA","Professional handyman services available in Coloma, California",2025-01-30 23:33:31.556495+00
64,Courtland,courtland,CA,Sacramento,"Find professional handyman services in Courtland, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Courtland, CA","Professional handyman services available in Courtland, California",2025-01-30 23:33:41.208826+00
22,Davis,davis,CA,Sacramento,"Find professional handyman services in Davis, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Davis, CA","Professional handyman services available in Davis, California",2025-01-30 23:33:28.537671+00
29,Diamond Springs,diamond-springs,CA,Sacramento,"Find professional handyman services in Diamond Springs, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Diamond Springs, CA","Professional handyman services available in Diamond Springs, California",2025-01-30 23:33:30.628509+00
25,El Dorado Hills,el-dorado-hills,CA,Sacramento,"Find professional handyman services in El Dorado Hills, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in El Dorado Hills, CA","Professional handyman services available in El Dorado Hills, California",2025-01-30 23:33:29.421097+00
2,Elk Grove,elk-grove,CA,Sacramento County,"Elk Grove, a family-friendly suburb of Sacramento, is known for its excellent schools, parks, and well-maintained residential communities. Homeowners in Elk Grove rely on professional handyman services to keep their properties in top condition and maintain their home values.",176124,"{""lat"": 38.4088, ""lng"": -121.3716}","Professional Handyman Services in Elk Grove, CA | Expert Home Repairs",Reliable handyman services in Elk Grove. Our skilled team provides comprehensive home repair and maintenance solutions for your property.,2025-01-30 21:00:30.52514+00
59,Elverta,elverta,CA,Sacramento,"Find professional handyman services in Elverta, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Elverta, CA","Professional handyman services available in Elverta, California",2025-01-30 23:33:39.715228+00
44,Fair Oaks,fair-oaks,CA,Sacramento,"Find professional handyman services in Fair Oaks, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Fair Oaks, CA","Professional handyman services available in Fair Oaks, California",2025-01-30 23:33:35.165489+00
50,Florin,florin,CA,Sacramento,"Find professional handyman services in Florin, California",0,"{""latitude"": 38.5816, ""longitude"": -121.4944}","Handyman Services in Florin, CA","Professional handyman services available in Florin, California",2025-01-30 23:33:36.945645+00
